                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.76301,                0.95252,                 1.3173,                0.84341,                0.83468,                0.90644,                0.80455,                 0.5315,                0.78307,                 1.1144,              0.0002674,              0.0002674,              0.0002674
                     77,                0.79272,                 1.0335,                 1.3596,                0.74229,                0.81978,                0.87534,                0.76307,                0.55182,                0.87757,                 1.1394,              0.0002575,              0.0002575,              0.0002575
                     78,                0.74079,                0.95458,                 1.3005,                0.84291,                0.81297,                0.90453,                0.79614,                0.54203,                 0.7487,                 1.1158,              0.0002476,              0.0002476,              0.0002476
                     79,                0.70731,                0.90534,                 1.2716,                0.83294,                0.82485,                0.89242,                0.79086,                0.54193,                0.78105,                 1.1309,              0.0002377,              0.0002377,              0.0002377
                     80,                0.75664,                0.92978,                 1.3088,                0.83783,                0.85069,                0.91949,                0.81004,                0.52752,                0.72502,                 1.1213,              0.0002278,              0.0002278,              0.0002278
                     81,                   0.73,                0.92424,                 1.2833,                0.86404,                0.83782,                0.92886,                0.82138,                0.51283,                0.71708,                 1.1039,              0.0002179,              0.0002179,              0.0002179
                     82,                0.70709,                0.88703,                 1.2643,                0.89094,                0.83781,                0.93356,                0.82878,                0.51986,                0.67594,                 1.1044,               0.000208,               0.000208,               0.000208
                     83,                0.73059,                0.91349,                 1.2935,                0.85177,                0.80099,                0.90573,                0.79936,                0.53367,                0.76769,                 1.1153,              0.0001981,              0.0001981,              0.0001981
                     84,                0.69867,                0.86999,                 1.2657,                0.86535,                0.84278,                0.92699,                0.81634,                0.53495,                0.69755,                 1.1097,              0.0001882,              0.0001882,              0.0001882
                     85,                0.70747,                0.90015,                 1.2819,                0.86382,                0.87468,                0.93183,                0.81858,                0.56247,                0.68393,                 1.1229,              0.0001783,              0.0001783,              0.0001783
                     86,                0.73743,                0.91331,                 1.3142,                0.82634,                0.87188,                0.91982,                0.79743,                0.54552,                 0.7722,                 1.1272,              0.0001684,              0.0001684,              0.0001684
                     87,                0.70511,                0.86047,                 1.2672,                0.87064,                0.85371,                0.92901,                 0.8271,                0.50739,                0.66993,                  1.099,              0.0001585,              0.0001585,              0.0001585
                     88,                 0.6978,                0.86595,                 1.2823,                0.86066,                0.86599,                0.92796,                0.81158,                0.51986,                0.66084,                 1.1129,              0.0001486,              0.0001486,              0.0001486
                     89,                0.69704,                0.86202,                 1.2671,                0.89003,                0.84009,                0.93819,                0.83763,                0.49953,                0.64051,                 1.0907,              0.0001387,              0.0001387,              0.0001387
                     90,                0.70657,                0.84375,                  1.274,                0.86419,                0.90534,                0.94806,                0.83348,                0.53552,                0.64415,                 1.1166,              0.0001288,              0.0001288,              0.0001288
                     91,                0.59384,                0.72479,                 1.1661,                0.86814,                0.82085,                0.92676,                0.81331,                0.55193,                0.85853,                 1.1358,              0.0001189,              0.0001189,              0.0001189
                     92,                 0.5709,                0.67399,                 1.1489,                0.84219,                0.91575,                0.93795,                0.83511,                0.51032,                0.69163,                  1.114,               0.000109,               0.000109,               0.000109
                     93,                0.55087,                0.61569,                 1.1289,                0.86143,                0.85728,                0.92823,                0.83011,                0.48929,                0.67526,                 1.0991,               9.91e-05,               9.91e-05,               9.91e-05
                     94,                0.56565,                0.64632,                 1.1388,                0.89127,                0.83809,                0.92751,                0.82417,                0.50719,                0.69096,                 1.1124,               8.92e-05,               8.92e-05,               8.92e-05
                     95,                0.53544,                0.60588,                 1.1067,                0.87187,                0.86282,                0.93488,                0.83232,                0.51438,                0.68127,                 1.1086,               7.93e-05,               7.93e-05,               7.93e-05
                     96,                0.53563,                0.60659,                 1.1153,                0.85992,                0.87848,                0.92878,                 0.8242,                0.50125,                0.70578,                 1.1066,               6.94e-05,               6.94e-05,               6.94e-05
                     97,                0.55185,                0.62307,                 1.1322,                0.87261,                0.85453,                0.93322,                0.82649,                0.49283,                0.68674,                 1.0973,               5.95e-05,               5.95e-05,               5.95e-05
                     98,                 0.5375,                0.63163,                 1.1228,                0.86779,                0.89573,                 0.9424,                0.84087,                0.48539,                 0.6536,                 1.0891,               4.96e-05,               4.96e-05,               4.96e-05
                     99,                0.55878,                0.60364,                 1.1397,                0.88856,                0.85867,                0.94104,                 0.8386,                 0.4862,                0.66437,                 1.0889,               3.97e-05,               3.97e-05,               3.97e-05
                    100,                0.51901,                0.58442,                 1.0967,                0.86121,                0.89587,                0.93697,                0.83459,                0.48884,                0.66551,                 1.0884,               2.98e-05,               2.98e-05,               2.98e-05
